pid,janonly,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
3759,,,,Wide Mountain Landscape with the Temptation of Christ,Painting,Religious,Mountain River Christ New_Testament,ca. 1600,52.5,56,,,Canvas,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, Add. 20, Honig database",,,,,Private,,,,"Belgium, Private Collection, 2009",,"Ertz 2008-10, cat. Add. 20",,,,,,,783,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3759/thumbnail.jpg,img/derivatives/simple/3759/full.jpg
3760,,<a href='/brughel/3321'><img src='/img/derivatives/simple/3321/thumbnail.jpg' /></a>,3321,Wide Plain with Four Windmills,Painting,Landscape,Traveling Birds Horse Windmill,ca. 1605,18.3,23.1,,,Copper,,BRUEGHEL 160(5?),,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #159",,159,,,Public,Russia,Moscow,Pushkin Museum,inv. #4630,6464,Egorova,,3321,,,,,784,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3760/thumbnail.jpg,img/derivatives/simple/3760/full.jpg
3761,,,,Wide River Landscape with Resting Travelers,Painting,Landscape,Traveling Dog Bridge Colonna Forest River,1594,25.5,34.5,,,Copper,,BRUEGHEL 1594,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #4, Ertz 1979, #4, Honig database",4,4,,,Private,,,,"London, Sotheby's, July 4, 2007, lot #21 for 860,000 pounds",6465|6466|6467|6468,"Puyvelde 1950, p.152; Ertz 1979, cat. #4, pp. 90, 92, 96, 104, 192; Bedoni 1983, p.74; Essen/Vienna 1997-98, #22; Pijl 2002, p. 275-76; Ertz 2008-10, cat. #22","London 1979, cat. #3|Essen/Vienna 1997-98, cat. #22",,,,,,785,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3761/thumbnail.jpg,img/derivatives/simple/3761/full.jpg
3763,,<a href='/brughel/3764'><img src='/img/derivatives/simple/3764/thumbnail.jpg' /></a>|<a href='/brughel/3718'><img src='/img/derivatives/simple/3718/thumbnail.jpg' /></a>,3764|3718,Wide Spring Landscape (Madrid),Painting,Staffage in Landscape,Spring Dog Village Momper Burghers Landscape,1610-1615,58,84,,,Panel,,,,,,Joos de Momper (1564-1635),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #719",,719,,,Public,Spain,Madrid,Museo del Prado,inv. #1589,,"Madrid 1975, p. 199; Ertz 1986, cat. #557; Madrid 1995, p. 754; Ertz 2008-10, cat. #719",,3764|3718,,,,,787,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3763/thumbnail.jpg,img/derivatives/simple/3763/full.jpg
3765,,<a href='/brughel/3504'><img src='/img/derivatives/simple/3504/thumbnail.jpg' /></a>|<a href='/brughel/3766'><img src='/img/derivatives/simple/3766/thumbnail.jpg' /></a>|<a href='/brughel/3283'><img src='/img/derivatives/simple/3283/thumbnail.jpg' /></a>,3504|3766|3283,Windmill in a Broad Field,Painting,Landscape,Dog Horse Windmill Road Wagon,1611,26.5,37.5,,,Panel,,BRU(E)GHEL 1611,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #163, Ertz 1979, #237, Honig database",237,163,,,Public,Germany,Dresden,"Staatliche Kunstsammlungen Dresden, Gemäldegalerie Alte Meister",Recently returned after WWII theft,6476|6477|6478|6479,"Ertz 1979, cat. #237, fig. 38; Ertz 2008-10, cat. #163",,3504|3766|3283,,,http://www.thearttribune.com/Dresden-recovers-its-Jan-Brueghel.html,,789,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3765/thumbnail.jpg,img/derivatives/simple/3765/full.jpg
3767,,,,Windmill on a Busy River,Drawing,"Village, Town and Cityscape",Horse Windmill River Cart Ship,1620,18,27.3,,,Paper,Pen and brown ink over brush in blue grey and a bit of blue,"""I. Bruechel Fecit. 18 ivnio 1620""",,Collector's mark: Rijksmuseum (L. 2228),"""63""; Verso, doublure, middle: ""69""",,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #AMST.RM.3,,,AMST.RM.3,,Public,Netherlands,Amsterdam,Rijksmuseum,RP-T-1961-68,6537|6538|6539|6540|6541|6542,"Altena 1961, p. 69, 72, fig. 16, nr. 24; Winner 1961, p. 240, note 113; Brussels 1980, nr. 169; Schapelhouman 1987, p. 18, nr. 9; Essen/Vienna 1997-98, p. 474-6, nr. 172, ill.","Brussels 1980, nr. 169|Essen/Vienna 1997-98, nr. 172",,,7296|7297,http://hdl.handle.net/10934/RM0001.COLLECT.28009,,791,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3767/thumbnail.jpg,img/derivatives/simple/3767/full.jpg
3769,,,,Winter Cityscape with Pig Market,Painting,Staffage in Landscape,Market Skating Swine Momper Snow Cityscape Boat,1615-1620,56,85,,,Panel,,,,,,Joos de Momper (1564-1635),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #763, Honig database",,763,,,Private,,,,"London, Johnny van Haeften Ltd., 1992/1993, #23",6484|6485,"Ertz 2008-10, cat. #763",,,,,,,793,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3769/thumbnail.jpg,img/derivatives/simple/3769/full.jpg
3770,,,,Winter Landscape (Copenhagen),Painting,Staffage in Landscape,Birds Horse Village Momper River Snow Peasants Landscape Boat Cart,1597-1625,37.5,98.5,,,Panel,,,,,,Joos de Momper (1564-1635),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 1979, #417",417,,,,Public,Denmark,Copenhagen,Statens Museum for Kunst,inv. #KMS1528,,"Ertz 2008-10, Cat.; Ertz 1979, Cat. #417",,,,,http://www.smk.dk/en/explore-the-art/search-smk/#/detail/KMS1528,,794,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3770/thumbnail.jpg,img/derivatives/simple/3770/full.jpg
3771,,,,Winter Landscape with Angels Strewing Flowers,Painting,Allegory,Winter Horse City Rottenhammer Borromeo River Putti Landscape Flowers Cart,ca. 1605,26.5,36,,,Copper,,,,,,Hans Rottenhammer (1564-1625),,Federico Borromeo (1564-1631),,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #532, Ertz 1979, #121, Honig database",121,532,,,Public,Italy,Milan,Ambrosiana,inv. #75/26,6486,"Ertz 1979, cat. #121, Fig 611; Bedoni 1983, p. 46; Pijl in Ambrosiana 2006, 83-84; Ertz 2008-10, cat. #532, pp. 1106-07",,,,,http://www.ambrosiana.eu/cms/paese_d_inverno_con_gloria_d_angeli-1582.html,,795,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3771/thumbnail.jpg,img/derivatives/simple/3771/full.jpg
3772,,,,Winter Village Canal,Painting,Staffage in Landscape,Dog Horse Village Momper Canal Snow Peasants Landscape Boat Wagon,1615-1620,65,154,,,Panel,,,,,,Joos de Momper (1564-1635),,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #771",,771,,,Private,,,,"Germany, Private Collection, 1986",6487|6488|6489|6490,"Ertz 1986, cat. 401; Ertz 2008-10, cat. 771",,,,,,,796,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3772/thumbnail.jpg,img/derivatives/simple/3772/full.jpg
3773,,<a href='/brughel/3472'><img src='/img/derivatives/simple/3472/thumbnail.jpg' /></a>|<a href='/brughel/3470'><img src='/img/derivatives/simple/3470/thumbnail.jpg' /></a>|<a href='/brughel/3468'><img src='/img/derivatives/simple/3468/thumbnail.jpg' /></a>|<a href='/brughel/3471'><img src='/img/derivatives/simple/3471/thumbnail.jpg' /></a>,3472|3470|3468|3471,Winter Village Landscape,Painting,"Village, Town and Cityscape",Games Skating Winter Village River Snow,ca. 1595-ca. 1600,27.5,36.2,,,Copper,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,Ertz as Jan Brueghel the Elder (7 November 2011),,,,,Private,,,,"Zürich, Koller, Sale A170, 19 Sept 2014, lot #3044",6491|6492,,,3472|3470|3468|3471,,,,,797,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3773/thumbnail.jpg,img/derivatives/simple/3773/full.jpg
3775,,<a href='/brughel/3774'><img src='/img/derivatives/simple/3774/thumbnail.jpg' /></a>,3774,Winter Village Landscape with Ice Skating,Painting,Staffage in Landscape,Skating Birds Horse Bridge Church Village Momper Snow Peasants Landscape Boat Wagon,1615-1620,44,73,,,Panel,,,,,,Joos de Momper (1564-1635),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #772",,772,,,Public,Germany,Hamburg,Hamburger Kunsthalle,,6496,"Ertz 1986, cat. 402; Essen/Vienna 2003, cat. 73; Ertz 2008-10, cat. 772",,3774,,,,,799,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3775/thumbnail.jpg,img/derivatives/simple/3775/full.jpg
2966,,,,Barge Moored to a Bank,Drawing,Seascape,Seascape Boat Ship,,20.7,18,,,Paper,"Pen and brown ink, brown-gray wash, black chalk",,,,"""yy 108""; ""253"" and ""699""; ""Collection / P H Lancrinck / Page to Chas 1st""",,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #CAME.FM.1,,,CAME.FM.1,,Public,England,Cambridge,Fitzwilliam Museum,PD.206-1963,6657|6658|6659,,,,,,http://data.fitzmuseum.cam.ac.uk/id/object/4374,,80,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2966/thumbnail.jpg,img/derivatives/simple/2966/full.jpg
3776,,,,Wooded Canyon with Rock Bridge and Travelers,Painting,Landscape,Horse Bridge House Forest Mountain Stream Wagon,1603-1604,30,30,,,,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, #2",,2,,,Private,,,,,6497,"Ertz 2008-10, cat. #2",,,,,,,800,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3776/thumbnail.jpg,img/derivatives/simple/3776/full.jpg
3777,,<a href='/brughel/3192'><img src='/img/derivatives/simple/3192/thumbnail.jpg' /></a>,3192,Wooded Landscape with Duck Hunter,Painting,Landscape,Hunting Birds Roundel Forest River Boat,ca. 1600,,,17.5,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #92",,92,,,Private,,,,"London, Johnny van Haeften Ltd.",6498|6499|6500,,,3192,,670|671,,,801,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3777/thumbnail.jpg,img/derivatives/simple/3777/full.jpg
3779,,,,Wooded Landscape with Hunters,Painting,Landscape,Hunting Dog Horse Forest Landscape,ca. 1600,23.5,17.5,,,Copper,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"Ertz 2008-10, Add. 3",,,,,Private,,,,"Germany, Private Collection",,"Ertz 2008-10, cat. Add. 3",,,,,,,803,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3779/thumbnail.jpg,img/derivatives/simple/3779/full.jpg
3780,,<a href='/brughel/3783'><img src='/img/derivatives/simple/3783/thumbnail.jpg' /></a>|<a href='/brughel/9828'><img src='/img/derivatives/simple/9828/thumbnail.jpg' /></a>,3783|9828,Wooded Landscape with Travelers and an Upset Cart,Painting,Landscape,Traveling Cattle Dog Horse Forest Road Wagon,1611,16.2,22.8,,,Copper,,BRUEGHEL 1611,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #72, Ertz 1979, #233, Honig database",233,72,,,Private,,,,"Germany, Private Collection",6503|6504|6505,"Ertz 1979, cat. #233, fig. 170; Ertz 2008-10, cat. #72","London 1979, cat. #27",3783|9828,,682,,,804,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3780/thumbnail.jpg,img/derivatives/simple/3780/full.jpg
3781,,<a href='/brughel/9616'><img src='/img/derivatives/simple/9616/thumbnail.jpg' /></a>,9616,Wooded Landscape with Wagon,Drawing,Landscape,Horse Forest Road Wagon,,23,38,,,Paper,"Pen, bistre wash, blue watercolor",,,,PF monogram,,,,,,,,,,Bailey/Walker cat. #ANTW.PM.3,,,ANTW.PM.3,,Public,Belgium,Antwerp,Museum Plantin-Moretus,PK.OT.00229; A.38.3,6573,"Antwerp 1927, nr. 22; Delen 1938, nr. 174; Bosschere 1910, p. 22","Antwerp 1927, nr. 22",9616,,672,http://search.museumplantinmoretus.be/Details/collect/276960,,805,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3781/thumbnail.jpg,img/derivatives/simple/3781/full.jpg
3788,,<a href='/brughel/3787'><img src='/img/derivatives/simple/3787/thumbnail.jpg' /></a>,3787,"Wooded Landscape with a Family of Bears, Deer, and Other Wild Animals",Drawing,Landscape,Forest Landscape,1595,33.9,24.4,,,Paper,Pen and brown ink,"""Bruegel inuen 1554.Roma""",,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #PARI.LC.3,,,PARI.LC.3,,Public,France,Paris,Fondation Custodia (Collection Frits Lugt),8025,7317|7318|7319|7320,"Arndt 1965-66, p. 10, nr. 3e; Lugt 1968, p. 84, nr. 334; Arndt 1972, p. 78 ff., 80, 97 ff., 99 ff, nr. K 2e, pl. 12; Winner 1972, p. 140 ff. (as by Jan Brueghel I); Washington 1974, nr. 40, note 5; Berlin 1975, nr. 42, pl. 73, p. 45 ff. nr. 43-47, 50; Brown 1975b, p. 831; Florence/Paris 1980-81, nr. 44, pl. 45; Oberhuber 1981, p. 154, note 4; London 1986, nr. 35, note 8; Mielke 1986, p. 81 ff.; Robinson in Washington/New York 1986-87, p. 98, nr. 27; Hanschke 1988, p. 50 ff., 180, note 28, pl. 8; Boon 1992, vol. 1, p. 77-8, nr. 46, pl. 78 (vol. 3); Rotterdam/New York 2001, p. 264, fig. 113; [RUBY IN MUNICH 2013], p. 43-4, fig. 35","Washington 1974, under nr. 40|Berlin 1975, nr. 42|Florence/Paris 1980-81, nr. 44|London 1986, under nr. 35|Washington/New York 1986-87, under nr. 27",3787,,,,,811,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3788/thumbnail.jpg,img/derivatives/simple/3788/full.jpg
3789,,<a href='/brughel/2976'><img src='/img/derivatives/simple/2976/thumbnail.jpg' /></a>,2976,Air: The Rape of Ganymede,Painting,Classical Mythology,Cosmology Animals Birds Miniature Pendant Classical Landscape Mythological,ca. 1606,10.5,10.5,,,Copper,,BRUEGHEL 160(6?),,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #504, Honig database",,504,,,Private,,,,"London, Rafael Valls Gallery, 2003, inv. #10",4478|4479|4480|4481|4482,"Ertz 2008-10, cat. #504, pp. 1058-59",,2976,,,,"{% cite 8900 %} cat. #504, pp. 1058-59",812,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3789/thumbnail.jpg,img/derivatives/simple/3789/full.jpg
3791,,<a href='/brughel/2900'><img src='/img/derivatives/simple/2900/thumbnail.jpg' /></a>,2900,"Allegory of Abundance: Venus, Bacchus and Ceres (Prague)",Painting,Allegory,Encyclopedic Monkey Van_Balen Forest Nude Putti Allegory Classical Mythological,ca. 1618,58.5,100.5,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #344, Slaví?ek 2000, #15, as Hendrick I van Balen and Jan Brueghel, Honig database as Jan and studio",,344,,,Public,Czech Republic,Prague,Narodní Galerie,inv. #O 10161 (old no. #DO 4940),4494|4495|4496|4497|4498|4499|4500,"Slaví?ek 2000, cat. #15 ; Werche 2004, cat. #A.41; Ertz 2008-10, cat. #344",,2900,,,,"{% cite 8912 %} cat. #A.41, {% cite 8900 %}  cat. #343",814,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3791/thumbnail.jpg,img/derivatives/simple/3791/full.jpg
3792,,<a href='/brughel/3793'><img src='/img/derivatives/simple/3793/thumbnail.jpg' /></a>|<a href='/brughel/2902'><img src='/img/derivatives/simple/2902/thumbnail.jpg' /></a>|<a href='/brughel/2904'><img src='/img/derivatives/simple/2904/thumbnail.jpg' /></a>|<a href='/brughel/3924'><img src='/img/derivatives/simple/3924/thumbnail.jpg' /></a>|<a href='/brughel/2976'><img src='/img/derivatives/simple/2976/thumbnail.jpg' /></a>,3793|2902|2904|3924|2976,Allegory of Air (Germany),Painting,Allegory,Abundance Cosmology Animals Birds Parrot Van_Balen Pendant Nude Putti Landscape,1611,21.1,31.7,,,,,BRUEGHEL 1611,,Mark of Peeter Stas,,Hendrick van Balen (1575-1632),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #503, Honig database",,503,,,Private,,,,"Germany, Private Collection",4507|4508|4509|4510|4511|4512|4513,,,3793|2902|2904|3924|2976,,,,,815,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3792/thumbnail.jpg,img/derivatives/simple/3792/full.jpg
3797,,<a href='/brughel/2932'><img src='/img/derivatives/simple/2932/thumbnail.jpg' /></a>|<a href='/brughel/2934'><img src='/img/derivatives/simple/2934/thumbnail.jpg' /></a>|<a href='/brughel/2937'><img src='/img/derivatives/simple/2937/thumbnail.jpg' /></a>|<a href='/brughel/2936'><img src='/img/derivatives/simple/2936/thumbnail.jpg' /></a>|<a href='/brughel/3798'><img src='/img/derivatives/simple/3798/thumbnail.jpg' /></a>,2932|2934|2937|2936|3798,Allegory of Water (Germany),Painting,Allegory,Cosmology Animals Birds Fish Van_Balen Pendant Nude Putti Landscape,1610,21.1,31.7,,,Copper,,BRUEGHEL 1610,,,,Hendrick van Balen (1575-1632),,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #498, Pijl in Ambrosiana 2006 p.92 as genuine, Honig database",,498,,,Private,,,,"Germany, Private Collection",4593|4594|4595|4596|4597|4598|4599,"Pijl in Ambrosiana 2006, p.92; Ertz 2008-10, cat. #498, pp. 1048-49",,2932|2934|2937|2936|3798,,,,"{% cite 9291 %} p.92, {% cite 8900 %} cat. #498, pp. 1048-49",820,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3797/thumbnail.jpg,img/derivatives/simple/3797/full.jpg
3800,,,,Ancient Ruin by Seaside Harbor,Painting,Landscape,Ruins Coast Landing_stage Fishermen Merchants Boat,1610,9.5,15.9,,,Copper,,BRUEGHEL 1610,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #105, Honig database",,105,,,Private,,,,"Massachusetts, Private Collection",4632|4633|4634|4635|4636|4637,"Ertz 2008-10, cat. #105",,,,,,{% cite 8900 %}  cat. #105,823,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3800/thumbnail.jpg,img/derivatives/simple/3800/full.jpg
3801,,<a href='/brughel/3001'><img src='/img/derivatives/simple/3001/thumbnail.jpg' /></a>,3001,Bouquet in a Glass Vase (Munich),Painting,Flower Still-Life & Nature Study,Insects Jan_Brueghel_the_Younger Glass Vase Flowers,ca. 1620,28.2,20.5,,,Copper,,,,,,Jan Brueghel the Younger (1601-1678),,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #427, RKD as Jan Brueghel I and Jan Brueghel II",,427,,,Private,,,,"Munich, Gallery Bernheimer",4718|4719|4720|4721|4722|4723,"Ertz 2008-10, cat. #427",,3001,,,,{% cite 8900 %} cat. #427,824,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3801/thumbnail.jpg,img/derivatives/simple/3801/full.jpg
3802,,<a href='/brughel/3152'><img src='/img/derivatives/simple/3152/thumbnail.jpg' /></a>|<a href='/brughel/3151'><img src='/img/derivatives/simple/3151/thumbnail.jpg' /></a>|<a href='/brughel/3820'><img src='/img/derivatives/simple/3820/thumbnail.jpg' /></a>|<a href='/brughel/3154'><img src='/img/derivatives/simple/3154/thumbnail.jpg' /></a>|<a href='/brughel/3821'><img src='/img/derivatives/simple/3821/thumbnail.jpg' /></a>,3152|3151|3820|3154|3821,Bouquet in a Glass Vase (Washington),Painting,Flower Still-Life & Nature Study,Insects Glass Vase Flowers,ca. 1608,48.9,38.1,,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #424, Ertz 1979, #183",183,424,,,Private,,,,"Washington, DC, Collection of Mrs. H. John Heinz III",4726|4727|4728|4729|4730|4731|4732|4733|4734|4735|4736|4737,"Ertz 2008-10, cat. #424; Ertz 1979, cat. #183","Laren 1959, cat. #33|Leiden, 1965, cat. # 7, ''17de eeuwse meesters uit Ned.''|The Hague 1982, cat. #20, ''Terugzien in bewondering''|Amsterdam/Noordbrabants Museums 1982, cat. #25|Shown at 'Fine Arts of the Netherlands', New York, Nov. 1982",3152|3151|3820|3154|3821,,,,"{% cite 8900 %} cat. #424, {% cite 9004 %} cat. #183",825,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3802/thumbnail.jpg,img/derivatives/simple/3802/full.jpg
3803,,<a href='/brughel/2995'><img src='/img/derivatives/simple/2995/thumbnail.jpg' /></a>|<a href='/brughel/3145'><img src='/img/derivatives/simple/3145/thumbnail.jpg' /></a>|<a href='/brughel/2993'><img src='/img/derivatives/simple/2993/thumbnail.jpg' /></a>|<a href='/brughel/3819'><img src='/img/derivatives/simple/3819/thumbnail.jpg' /></a>|<a href='/brughel/3158'><img src='/img/derivatives/simple/3158/thumbnail.jpg' /></a>,2995|3145|2993|3819|3158,Bouquet of Flowers in a Chinese Vase (London),Painting,Flower Still-Life & Nature Study,Insects Vase Flowers,ca. 1610,46,33.9,,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #444",,444,,,Private,,,,"London, Richard Green Gallery, 2006",4745|4746|4747|4748|4749|4750,"Ertz 2008-10, cat. #444",,2995|3145|2993|3819|3158,,469|470|471|472|473|474,,{% cite 8900 %} cat. #444,826,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3803/thumbnail.jpg,img/derivatives/simple/3803/full.jpg
3804,,<a href='/brughel/3000'><img src='/img/derivatives/simple/3000/thumbnail.jpg' /></a>|<a href='/brughel/3144'><img src='/img/derivatives/simple/3144/thumbnail.jpg' /></a>|<a href='/brughel/2997'><img src='/img/derivatives/simple/2997/thumbnail.jpg' /></a>|<a href='/brughel/2999'><img src='/img/derivatives/simple/2999/thumbnail.jpg' /></a>|<a href='/brughel/3142'><img src='/img/derivatives/simple/3142/thumbnail.jpg' /></a>|<a href='/brughel/2982'><img src='/img/derivatives/simple/2982/thumbnail.jpg' /></a>|<a href='/brughel/3139'><img src='/img/derivatives/simple/3139/thumbnail.jpg' /></a>,3000|3144|2997|2999|3142|2982|3139,Bouquet with Mourning Iris in a Stoneware Vase,Painting,Flower Still-Life & Nature Study,Insects Vase Flowers Jewels,1607-1608,66,52,,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 1979, #167, Ertz 2008-10, #437, Honig database, RKD (Meijer) as Jan the Elder",167,437,,,Private,,,,"London, Sotheby's, December 5, 2012, inv. #35 for 713,250 GPB",4756|4757|4758|4759|4760|4761|4762|4763,"Grosse 1936, p. 24, fig. 31; Hairs 1965, pp. 66, 363, #34, fig. 159; Ertz 1979, cat. #167; Ertz 2008-10, cat. #437; Winkelmann- Rhein 1968, pp.22, 35 ; Currie & Allart 2012, pp. 243","Vienna, Secession, Drei Jahrhunderte flämische Kunst 1400-1700, 1930, #9|Vienna, Galerie Sanct Lucas, Die jüngeren Brueghel und ihr Kreis, 1935",3000|3144|2997|2999|3142|2982|3139,,,,"{% cite 7874 %} pp. 66, 363, #34, fig. 159, {% cite 9004 %} cat. #167, {% cite 8900 %} cat. #437, {% cite 9394 %} pp.22, 35, {% cite 8340 %} pp. 243",827,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3804/thumbnail.jpg,img/derivatives/simple/3804/full.jpg
3809,,<a href='/brughel/3075'><img src='/img/derivatives/simple/3075/thumbnail.jpg' /></a>,3075,Diana and Actaeon,Painting,Classical Mythology,Dog De_Clerck Forest Nude Classical History Mythological Flowers Shells,1597-1598,26.6,36.2,,,Copper,,,,,,"Hendrick de Clerck (1570-1629/30), Jacob de Backer (ca. 1560-1590/91)",Either de Backer or de Clerck,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #359",,359,,,Public,United States,"Houston, TX",Museum of Fine Arts,,4936|4937|4938|4939|4940|4941,"Düsseldorf 2008; Ertz 2008-10, cat. #359",,3075,,501|502,,"{% cite 8720 %} , {% cite 8900 %} cat. #359",832,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3809/thumbnail.jpg,img/derivatives/simple/3809/full.jpg
3810,,<a href='/brughel/3082'><img src='/img/derivatives/simple/3082/thumbnail.jpg' /></a>,3082,Diana and Callisto,Painting,Classical Mythology,Dog Van_Balen Forest Nude Classical History Mythological Jewels Shells,ca. 1608,26.4,37.8,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #366, Honig database, Werche 2004 as Van Balen and Jan Brueghel",,366,,,Public,United States,"Austin, TX",Jack S. Blanton Museum of Art,,4958|4959|4960|4961|4962|4963|4964|4965|4966|4967|4968,"Werche 2004, cat. #A.78, p. 164; Ertz 2008-10, cat. #366",,3082,,,http://collection.blantonmuseum.org/Obj15019?sid=814085&x=12124692,"{% cite 8912 %} cat. #A.78, p. 164, {% cite 8900 %} cat. #366",833,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3810/thumbnail.jpg,img/derivatives/simple/3810/full.jpg
3811,,<a href='/brughel/3070'><img src='/img/derivatives/simple/3070/thumbnail.jpg' /></a>,3070,"Diana and Her Nymphs Fishing (Allegory of Air, Water & Earth)",Painting,Classical Mythology,Deer Dog Fish Van_Balen Pendant Forest River Nude Allegory Classical History Mythological,1621-1625,58.7,81,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #350, Ertz 1979, #374, Honig database",374,350,,,Private,,,,"Munich, Gallery Bernheimer, 1998, cat. #7",4971|4972|4973|4974|4975|4976|4977|4978|4979,"Zoege van Manteuffel 1923, p. 10; Jost 1963, p. 126; Müllenmeister 1978, vol. 2, p. 43, #76a; Ertz 1979, cat. #374; Müllenmeister 1983, pp. 394-95, fig.s 1-3; Robels 1989, p. 143, n. 339; Cologne/Antwerp/Vienna 1992, pp. 312-13; Werche 2004, cat. #A 82, pp. 165-66; Ertz 2008-10, cat. #350","Ksth. de Bon, Amsterdam, 1954, without cat.#|London 1979, cat. #39|Cologne/Antwerp/Vienna 1992, cat. #31.2",3070,,,,"{% cite 8321 %} p. 126, {% cite 8170 %} vol. 2, p. 43, #76a, {% cite 9004 %} cat. #374, {% cite 9417 %} pp. 394-95, fig.s 1-3, {% cite 9415 %} p. 143, n. 339, {% cite 9407 %} pp. 312-13, {% cite 8912 %} cat. #A 82, pp. 165-66, {% cite 8900 %} cat. #350",834,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3811/thumbnail.jpg,img/derivatives/simple/3811/full.jpg
